:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n1" #{"n2" "n0"}, "n2" #{"n1"}, "n0" #{"n1"}}]
0	:ok	:generate	6976163295263689000
1	:ok	:generate	8863792898175400000
0	:invoke	:generate	nil
2	:ok	:generate	4960710781915535000
0	:ok	:generate	706611434043998500
1	:invoke	:generate	nil
1	:ok	:generate	1640915175888607500
2	:invoke	:generate	nil
2	:ok	:generate	6158577470769388000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	5890212535107635000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	4226274671980602000
2	:ok	:generate	8815251428668882000
1	:invoke	:generate	nil
1	:ok	:generate	861412875249187300
1	:invoke	:generate	nil
0	:ok	:generate	8969875791369041000
2	:invoke	:generate	nil
1	:ok	:generate	6871561470718745000
0	:invoke	:generate	nil
2	:ok	:generate	6589799207132173000
1	:invoke	:generate	nil
0	:ok	:generate	6922032751198105000
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	5890965885554931000
0	:ok	:generate	4013373272037914600
0	:invoke	:generate	nil
2	:ok	:generate	1756520648418373400
1	:invoke	:generate	nil
0	:ok	:generate	6947964865930113000
1	:ok	:generate	6149047614561953000
0	:invoke	:generate	nil
0	:ok	:generate	8891609601302764000
1	:invoke	:generate	nil
1	:ok	:generate	6893106508424639000
2	:invoke	:generate	nil
2	:ok	:generate	1793042315416650000
0	:invoke	:generate	nil
0	:ok	:generate	8662061602112648000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1474303186839360300
1	:ok	:generate	8151627236583449000
2	:invoke	:generate	nil
2	:ok	:generate	1878464355108388000
0	:invoke	:generate	nil
0	:ok	:generate	75811273208145470
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	7151988029209404000
2	:invoke	:generate	nil
1	:ok	:generate	7682963581225277000
0	:invoke	:generate	nil
2	:ok	:generate	4882102898184395000
0	:ok	:generate	5272387312770244000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	5363568555323434000
1	:ok	:generate	5673192410341680000
2	:ok	:generate	7632768353851559000
0	:invoke	:generate	nil
0	:ok	:generate	8133282500301744000
0	:invoke	:generate	nil
0	:ok	:generate	658127134433774100
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	1773872316730328600
1	:ok	:generate	3917441254625797000
0	:invoke	:generate	nil
0	:ok	:generate	8680398738790094000
0	:invoke	:generate	nil
0	:ok	:generate	754455088428127500
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	7017548478183611000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	3601015298830343000
0	:ok	:generate	5002338371022926000
1	:ok	:generate	6536118716723013000
1	:invoke	:generate	nil
1	:ok	:generate	5991702789376652000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	3053899624400772000
0	:ok	:generate	7793121487454986000
1	:ok	:generate	5322151247882818000
1	:invoke	:generate	nil
1	:ok	:generate	8119180003316712000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	5065525533947962000
0	:ok	:generate	1953018784152909300
0	:invoke	:generate	nil
0	:ok	:generate	4471370341870668300
1	:invoke	:generate	nil
1	:ok	:generate	7297502861195013000
2	:invoke	:generate	nil
2	:ok	:generate	4529154044337118700
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	184195107853964830
1	:ok	:generate	4627229336836896000
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	7152905035897207000
1	:invoke	:generate	nil
1	:ok	:generate	9200809169351975000
1	:invoke	:generate	nil
2	:ok	:generate	8091941106012763000
0	:ok	:generate	9202564118822684000
2	:invoke	:generate	nil
1	:ok	:generate	6573122743601883000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	8094449265440936000
2	:invoke	:generate	nil
0	:ok	:generate	5404002903270155000
0	:invoke	:generate	nil
1	:ok	:generate	197485490713984420
1	:invoke	:generate	nil
2	:ok	:generate	4713031923042497000
2	:invoke	:generate	nil
0	:ok	:generate	2874656395048689000
1	:ok	:generate	4388139068289287000
1	:invoke	:generate	nil
2	:ok	:generate	3650409286146171400
2	:invoke	:generate	nil
1	:ok	:generate	5429749608673260000
2	:ok	:generate	3767359564766520000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	6617519720647364000
2	:invoke	:generate	nil
1	:ok	:generate	1308957538474583000
2	:ok	:generate	5064021962775823000
2	:invoke	:generate	nil
2	:ok	:generate	2441383558053796400
0	:invoke	:generate	nil
0	:ok	:generate	1346611155459426000
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	7658047037960489000
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	6419520060667940000
0	:invoke	:generate	nil
0	:ok	:generate	9050196137484434000
0	:invoke	:generate	nil
0	:ok	:generate	228035510019706500
0	:invoke	:generate	nil
0	:ok	:generate	7099816622984514000
0	:invoke	:generate	nil
0	:ok	:generate	4640907752380617000
0	:invoke	:generate	nil
0	:ok	:generate	7878504849282448000
0	:invoke	:generate	nil
0	:ok	:generate	1668556645330375000
0	:invoke	:generate	nil
0	:ok	:generate	5126030136055397000
0	:invoke	:generate	nil
1	:ok	:generate	128227994241760210
2	:ok	:generate	2926371860239520300
0	:ok	:generate	1603272957450833400
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	7780939544358071000
2	:invoke	:generate	nil
1	:ok	:generate	3587893184159917000
0	:invoke	:generate	nil
0	:ok	:generate	377033588454328770
