:nemesis	:info	:start-partition	:minority-third
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
1	:ok	:generate	1
2	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	2
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	2
2	:invoke	:generate	nil
0	:ok	:generate	2
0	:invoke	:generate	nil
1	:ok	:generate	3
2	:ok	:generate	3
2	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
2	:ok	:generate	4
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	4
1	:ok	:generate	4
0	:invoke	:generate	nil
2	:ok	:generate	5
1	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
1	:ok	:generate	5
1	:invoke	:generate	nil
0	:ok	:generate	6
2	:invoke	:generate	nil
1	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	7
2	:ok	:generate	6
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	8
1	:ok	:generate	7
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	9
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	8
1	:invoke	:generate	nil
2	:ok	:generate	8
1	:ok	:generate	9
1	:invoke	:generate	nil
0	:ok	:generate	10
2	:invoke	:generate	nil
1	:ok	:generate	10
2	:ok	:generate	9
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	10
2	:invoke	:generate	nil
1	:ok	:generate	11
1	:invoke	:generate	nil
0	:ok	:generate	11
2	:ok	:generate	11
1	:ok	:generate	12
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	12
0	:invoke	:generate	nil
1	:ok	:generate	13
1	:invoke	:generate	nil
2	:ok	:generate	12
0	:ok	:generate	13
0	:invoke	:generate	nil
1	:ok	:generate	14
1	:invoke	:generate	nil
0	:ok	:generate	14
1	:ok	:generate	15
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	13
1	:invoke	:generate	nil
0	:ok	:generate	15
1	:ok	:generate	16
1	:invoke	:generate	nil
1	:ok	:generate	17
2	:invoke	:generate	nil
2	:ok	:generate	14
0	:invoke	:generate	nil
0	:ok	:generate	16
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	17
1	:ok	:generate	18
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	15
0	:ok	:generate	18
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	19
1	:ok	:generate	19
2	:invoke	:generate	nil
2	:ok	:generate	16
0	:invoke	:generate	nil
0	:ok	:generate	20
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	20
1	:invoke	:generate	nil
0	:ok	:generate	21
2	:ok	:generate	17
0	:invoke	:generate	nil
1	:ok	:generate	21
1	:invoke	:generate	nil
0	:ok	:generate	22
1	:ok	:generate	22
2	:invoke	:generate	nil
2	:ok	:generate	18
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	23
2	:invoke	:generate	nil
1	:ok	:generate	23
2	:ok	:generate	19
2	:invoke	:generate	nil
2	:ok	:generate	20
0	:invoke	:generate	nil
0	:ok	:generate	24
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	25
1	:ok	:generate	24
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	21
1	:invoke	:generate	nil
0	:ok	:generate	26
2	:invoke	:generate	nil
1	:ok	:generate	25
2	:ok	:generate	22
2	:invoke	:generate	nil
2	:ok	:generate	23
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	27
1	:ok	:generate	26
1	:invoke	:generate	nil
1	:ok	:generate	27
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	24
0	:ok	:generate	28
0	:invoke	:generate	nil
0	:ok	:generate	29
1	:invoke	:generate	nil
1	:ok	:generate	28
2	:invoke	:generate	nil
2	:ok	:generate	25
0	:invoke	:generate	nil
0	:ok	:generate	30
0	:invoke	:generate	nil
0	:ok	:generate	31
1	:invoke	:generate	nil
1	:ok	:generate	29
2	:invoke	:generate	nil
2	:ok	:generate	26
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	32
1	:ok	:generate	30
1	:invoke	:generate	nil
1	:ok	:generate	31
2	:invoke	:generate	nil
2	:ok	:generate	27
0	:invoke	:generate	nil
0	:ok	:generate	33
0	:invoke	:generate	nil
0	:ok	:generate	34
1	:invoke	:generate	nil
1	:ok	:generate	32
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	28
1	:invoke	:generate	nil
0	:ok	:generate	35
1	:ok	:generate	33
1	:invoke	:generate	nil
1	:ok	:generate	34
2	:invoke	:generate	nil
2	:ok	:generate	29
0	:invoke	:generate	nil
0	:ok	:generate	36
0	:invoke	:generate	nil
0	:ok	:generate	37
1	:invoke	:generate	nil
1	:ok	:generate	35
2	:invoke	:generate	nil
2	:ok	:generate	30
0	:invoke	:generate	nil
0	:ok	:generate	38
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	39
1	:ok	:generate	36
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	40
2	:ok	:generate	31
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	37
0	:ok	:generate	41
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	42
